percentile,quality
0,0.014146553352
1,0.016835931465
2,0.018683972657
3,0.019710990116
4,0.020765883774
5,0.021608404070
6,0.022527581379
7,0.023167410120
8,0.024351176992
9,0.025415541008
10,0.026834568009
11,0.028666973263
12,0.029863043278
13,0.031533200294
14,0.033036675453
15,0.034212207794
16,0.035460978299
17,0.036604837328
18,0.037709383219
19,0.039249620438
20,0.040569347143
21,0.042164324224
22,0.043329351395
23,0.045347056836
24,0.047391953766
25,0.051088429987
26,0.056764824837
27,0.062119492739
28,0.072385837138
29,0.079956715703
30,0.094837519526
31,0.108040550947
32,0.125098208785
33,0.136026259065
34,0.148690837026
35,0.165046682954
36,0.183083600998
37,0.197763196826
38,0.217215290070
39,0.240586396456
40,0.267345178127
41,0.300814327002
42,0.328879231215
43,0.364088404179
44,0.391080843210
45,0.428411835432
46,0.454748107195
47,0.474558990002
48,0.515919313431
49,0.549228181839
50,0.573821604252
51,0.602085952759
52,0.630835528374
53,0.659741866589
54,0.685425126553
55,0.709884178638
56,0.725662260056
57,0.749728028774
58,0.762236905098
59,0.785707600117
60,0.798933947086
61,0.810012514591
62,0.825476324558
63,0.839172632694
64,0.854974949360
65,0.869151890278
66,0.881828179359
67,0.895205485821
68,0.903732569218
69,0.915135109425
70,0.923006677628
71,0.931653079987
72,0.938036160469
73,0.942600808144
74,0.951884107590
75,0.958318650723
76,0.963245015144
77,0.967255518436
78,0.971891870499
79,0.975716459751
80,0.978582382202
81,0.981751406193
82,0.984468400478
83,0.987310862541
84,0.989304311275
85,0.991987156868
86,0.993795549870
87,0.995132439137
88,0.996216242313
89,0.996916141510
90,0.997724497318
91,0.998377299309
92,0.998864665031
93,0.999235029221
94,0.999612712860
95,0.999748301506
96,0.999891874790
97,0.999943237305
98,0.999985985756
99,0.999997553825
100,1.000000000000